"x","y","R_t0","f1_t0"
753764.00234,4296996.64118111,0,0
753771.00234,4296996.64118111,0,0
753778.00234,4296996.64118111,0,0
753841.00234,4296996.64118111,0,0
753848.00234,4296996.64118111,0,0
753771.00234,4296989.64118111,0,0
753778.00234,4296989.64118111,0,0
753834.00234,4296989.64118111,0,0
753841.00234,4296989.64118111,0,0
753848.00234,4296989.64118111,0,0
753855.00234,4296989.64118111,0,0
753771.00234,4296982.64118111,0,0
753778.00234,4296982.64118111,0,0
753827.00234,4296982.64118111,0,0
753834.00234,4296982.64118111,0,0
753841.00234,4296982.64118111,0,0
753848.00234,4296982.64118111,0,0
753855.00234,4296982.64118111,0,0
753862.00234,4296982.64118111,0,0
753771.00234,4296975.64118111,0,0
753778.00234,4296975.64118111,0,0
753785.00234,4296975.64118111,0,0
753827.00234,4296975.64118111,0,0
753834.00234,4296975.64118111,0,0
753841.00234,4296975.64118111,0,0
753848.00234,4296975.64118111,0,0
753855.00234,4296975.64118111,0,0
753862.00234,4296975.64118111,0,0
753869.00234,4296975.64118111,0,0
753876.00234,4296975.64118111,0,0
753778.00234,4296968.64118111,0,0
753785.00234,4296968.64118111,0,0
753820.00234,4296968.64118111,0,0
753827.00234,4296968.64118111,0,0
753834.00234,4296968.64118111,0,0
753841.00234,4296968.64118111,0,0
753848.00234,4296968.64118111,0,0
753855.00234,4296968.64118111,0,0
753862.00234,4296968.64118111,0,0
753869.00234,4296968.64118111,0,0
753876.00234,4296968.64118111,0,0
753778.00234,4296961.64118111,0,0
753785.00234,4296961.64118111,0,0
753792.00234,4296961.64118111,0,0
753813.00234,4296961.64118111,0,0
753820.00234,4296961.64118111,0,0
753827.00234,4296961.64118111,0,0
753834.00234,4296961.64118111,0,0
753841.00234,4296961.64118111,0,0
753848.00234,4296961.64118111,0,0
753855.00234,4296961.64118111,0,0
753862.00234,4296961.64118111,0,0
753869.00234,4296961.64118111,0,0
753876.00234,4296961.64118111,0,0
753792.00234,4296954.64118111,0,0
753806.00234,4296954.64118111,0,0
753813.00234,4296954.64118111,0,0
753820.00234,4296954.64118111,0,0
753827.00234,4296954.64118111,0,0
753834.00234,4296954.64118111,0,0
753841.00234,4296954.64118111,0,0
753848.00234,4296954.64118111,0,0
753855.00234,4296954.64118111,0,0
753862.00234,4296954.64118111,0,0
753869.00234,4296954.64118111,0,0
754086.00234,4296954.64118111,0,0
754093.00234,4296954.64118111,0,0
754100.00234,4296954.64118111,0,0
753806.00234,4296947.64118111,0,0
753813.00234,4296947.64118111,0,0
753820.00234,4296947.64118111,0,0
753827.00234,4296947.64118111,0,0
753834.00234,4296947.64118111,0,0
753841.00234,4296947.64118111,0,0
753848.00234,4296947.64118111,0,0
753855.00234,4296947.64118111,0,0
753862.00234,4296947.64118111,0,0
754086.00234,4296947.64118111,0,0
754093.00234,4296947.64118111,0,0
754100.00234,4296947.64118111,0,0
754107.00234,4296947.64118111,0,0
755143.00234,4296947.64118111,0,0
753813.00234,4296940.64118111,0,0
753820.00234,4296940.64118111,0,0
753827.00234,4296940.64118111,0,0
753834.00234,4296940.64118111,0,0
753841.00234,4296940.64118111,0,0
753848.00234,4296940.64118111,0,0
753855.00234,4296940.64118111,0,0
754079.00234,4296940.64118111,0,0
754086.00234,4296940.64118111,0,0
754093.00234,4296940.64118111,0,0
754100.00234,4296940.64118111,0,0
754107.00234,4296940.64118111,0,0
754114.00234,4296940.64118111,0,0
754121.00234,4296940.64118111,0,0
755143.00234,4296940.64118111,0,0
753827.00234,4296933.64118111,0,0
753834.00234,4296933.64118111,0,0
753841.00234,4296933.64118111,0,0
753848.00234,4296933.64118111,0,0
754079.00234,4296933.64118111,0,0
754086.00234,4296933.64118111,0,0
754093.00234,4296933.64118111,0,0
754100.00234,4296933.64118111,0,0
754107.00234,4296933.64118111,0,0
754114.00234,4296933.64118111,0,0
754121.00234,4296933.64118111,0,0
754128.00234,4296933.64118111,0,0
755136.00234,4296933.64118111,0,0
755143.00234,4296933.64118111,0,0
755150.00234,4296933.64118111,0,0
753834.00234,4296926.64118111,0,0
753841.00234,4296926.64118111,0,0
754072.00234,4296926.64118111,0,0
754079.00234,4296926.64118111,0,0
754086.00234,4296926.64118111,0,0
754093.00234,4296926.64118111,0,0
754100.00234,4296926.64118111,0,0
754107.00234,4296926.64118111,0,0
754114.00234,4296926.64118111,0,0
754121.00234,4296926.64118111,0,0
754128.00234,4296926.64118111,0,0
754135.00234,4296926.64118111,0,0
755136.00234,4296926.64118111,0,0
755143.00234,4296926.64118111,0,0
754072.00234,4296919.64118111,0,0
754079.00234,4296919.64118111,0,0
754086.00234,4296919.64118111,0,0
754093.00234,4296919.64118111,0,0
754100.00234,4296919.64118111,0,0
754107.00234,4296919.64118111,0,0
754114.00234,4296919.64118111,0,0
754121.00234,4296919.64118111,0,0
754128.00234,4296919.64118111,0,0
754135.00234,4296919.64118111,0,0
754142.00234,4296919.64118111,0,0
754149.00234,4296919.64118111,0,0
755129.00234,4296919.64118111,0,0
755136.00234,4296919.64118111,0,0
755143.00234,4296919.64118111,0,0
754072.00234,4296912.64118111,0,0
754079.00234,4296912.64118111,0,0
754086.00234,4296912.64118111,0,0
754093.00234,4296912.64118111,0,0
754100.00234,4296912.64118111,0,0
754107.00234,4296912.64118111,0,0
754114.00234,4296912.64118111,0,0
754121.00234,4296912.64118111,0,0
754128.00234,4296912.64118111,0,0
754135.00234,4296912.64118111,0,0
754142.00234,4296912.64118111,0,0
754149.00234,4296912.64118111,0,0
754156.00234,4296912.64118111,0,0
755024.00234,4296912.64118111,0,0
755129.00234,4296912.64118111,0,0
755136.00234,4296912.64118111,0,0
754086.00234,4296905.64118111,0,0
754093.00234,4296905.64118111,0,0
754100.00234,4296905.64118111,0,0
754107.00234,4296905.64118111,0,0
754114.00234,4296905.64118111,0,0
754121.00234,4296905.64118111,0,0
754128.00234,4296905.64118111,0,0
754135.00234,4296905.64118111,0,0
754142.00234,4296905.64118111,0,0
754149.00234,4296905.64118111,0,0
754156.00234,4296905.64118111,0,0
754163.00234,4296905.64118111,0,0
755024.00234,4296905.64118111,0,0
755031.00234,4296905.64118111,0,0
755122.00234,4296905.64118111,0,0
755129.00234,4296905.64118111,0,0
755136.00234,4296905.64118111,0,0
754086.00234,4296898.64118111,0,0
754093.00234,4296898.64118111,0,0
754100.00234,4296898.64118111,0,0
754107.00234,4296898.64118111,0,0
754114.00234,4296898.64118111,0,0
754121.00234,4296898.64118111,0,0
754128.00234,4296898.64118111,0,0
754135.00234,4296898.64118111,0,0
754142.00234,4296898.64118111,0,0
754149.00234,4296898.64118111,0,0
754156.00234,4296898.64118111,0,0
754163.00234,4296898.64118111,0,0
755017.00234,4296898.64118111,0,0
755024.00234,4296898.64118111,0,0
755031.00234,4296898.64118111,0,0
755038.00234,4296898.64118111,0,0
755122.00234,4296898.64118111,0,0
755129.00234,4296898.64118111,0,0
754086.00234,4296891.64118111,0,0
754093.00234,4296891.64118111,0,0
754100.00234,4296891.64118111,0,0
754107.00234,4296891.64118111,0,0
754114.00234,4296891.64118111,0,0
754121.00234,4296891.64118111,0,0
754128.00234,4296891.64118111,0,0
754135.00234,4296891.64118111,0,0
754142.00234,4296891.64118111,0,0
754149.00234,4296891.64118111,0,0
755010.00234,4296891.64118111,0,0
755017.00234,4296891.64118111,0,0
755024.00234,4296891.64118111,0,0
755115.00234,4296891.64118111,0,0
755122.00234,4296891.64118111,0,0
755129.00234,4296891.64118111,0,0
754079.00234,4296884.64118111,0,0
754107.00234,4296884.64118111,0,0
754114.00234,4296884.64118111,0,0
754121.00234,4296884.64118111,0,0
754128.00234,4296884.64118111,0,0
755017.00234,4296884.64118111,0,0
755115.00234,4296884.64118111,0,0
755122.00234,4296884.64118111,0,0
754079.00234,4296877.64118111,0,0
