"x" "y" "res" "year"
760907.5959 4290777.8459 1 2018
760488.156 4291545.5063 1 2018
760530.0551 4292162.8495 0 2018
749936.6136 4283927.7645 0 2018
749691.9537 4283492.91 0 2018
750326.3073 4284166.2632 1 2018
750554.9653 4283340.9419 0 2018
759062.9805 4294736.5806 1 2018
758945.6249 4295101.8832 1 2018
758893.2617 4294703.4983 0 2018
756800.7482 4293646.5096 1 2018
769297.4147 4289018.399 1 2018
768440.2336 4289298.3702 0 2018
748466.3629 4287667.0211 1 2018
753210.155 4283951.3853 0 2018
756894.4623 4282644.5645 0 2018
753363.7902 4284179.6395 0 2018
755668.3733 4282215.8071 0 2018
758210.4241 4282348.4866 0 2018
758862.162 4282187.9692 1 2018
757300.7406 4287959.4289 1 2018
758003.3702 4287708.3604 0 2018
756829.8808 4287247.1074 1 2018
761193.2204 4282397.4167 1 2018
754423.2401 4281269.2176 1 2018
749973.4177 4286583.1732 1 2018
750207.956 4285745.2865 1 2018
749300.4495 4285728.6423 0 2018
748996.9094 4285644.9783 0 2018
753465.7297 4286017.485 1 2018
762816.671 4287636.4458 1 2018
762946.4401 4286181.5766 1 2018
763315.2525 4287366.1364 1 2018
761234.8054 4283010.444 1 2018
761652.9231 4285397.3968 1 2018
755959.9593 4286626.5752 0 2018
756962.0192 4286043.7331 0 2018
760775.8727 4286392.5351 0 2018
749175.1616 4282404.8973 0 2018
751598.6824 4282433.1681 1 2018
751069.7463 4283137.6589 1 2018
751506.458 4283578.2734 0 2018
751617.5552 4289210.7616 1 2018
752234.4748 4287791.9813 1 2018
751999.0556 4287866.9179 1 2018
752656.2777 4288152.5581 0 2018
754951.1686 4290989.6623 0 2018
753698.8025 4287935.496 1 2018
751627.8761 4284609.1845 0 2018
751153.8012 4284289.8977 1 2018
751338.1374 4284139.1119 1 2018
751304.1367 4284588.9332 1 2018
752598.9395 4283745.0039 1 2018
752504.9982 4284344.7994 1 2018
740256.7218 4285673.278 1 2018
751265.347 4281496.0822 0 2018
761957.5117 4288934.6853 1 2018
753924.7997 4294361.803 1 2018
750694.5716 4293151.0816 1 2018
758903.7132 4293060.3704 1 2018
758754.2384 4293024.706 1 2018
758608.0669 4293024.9761 0 2018
758435.7025 4293072.4049 1 2018
758313.8729 4292918.7748 1 2018
758158.5802 4292486.6008 1 2018
758349.6552 4292389.5376 1 2018
758558.3409 4292229.6231 0 2018
758879.4833 4292256.9307 1 2018
759079.7786 4292443.0045 1 2018
749822.6215 4288987.7902 1 2018
748881.4039 4276163.8499 1 2018
753319.1978 4288960.6615 0 2018
753021.3232 4288773.4215 1 2018
753057.8811 4288476.9769 0 2018
753139.2294 4288904.0982 0 2018
753705.2624 4288832.2793 1 2018
752390.7244 4288223.6478 0 2018
745207.4469 4282292.8514 1 2018
745378.8836 4281953.6208 1 2018
746025.3202 4282762.5868 1 2018
750513.8684 4280161.4384 0 2018
749625.7422 4281783.7713 0 2018
762379.3085 4292889.5437 1 2018
762033.0108 4293341.365 0 2018
762817.8329 4292729.3179 1 2018
749326.4726 4279672.4278 0 2018
748971.3673 4279597.5797 0 2018
749438.4218 4278900.9171 0 2018
747976.5139 4279872.9878 0 2018
747884.409 4280079.4481 0 2018
748148.8752 4280208.202 0 2018
748609.5642 4280176.2347 0 2018
748715.51 4279218.1225 0 2018
748604.9926 4279185.7618 0 2018
751697.3598 4280851.5933 0 2018
751002.9172 4281088.668 0 2018
751277.1368 4281831.8096 1 2018
757181.8077 4289383.5616 0 2018
757861.9315 4289685.5281 1 2018
758863.34 4290166.2685 1 2018
759787.9687 4293171.1339 0 2018
759996.6516 4293160.3325 1 2018
759917.2493 4293885.0733 1 2018
761079.5724 4292644.9769 1 2018
760433.5852 4293698.1623 1 2018
760489.965 4293984.3102 0 2018
759491.8529 4286606.226 0 2018
757364.1378 4288411.34 1 2018
754589.2952 4289516.7182 0 2018
754808.6354 4289212.3818 1 2018
754727.1064 4289065.4511 1 2018
754639.1239 4289029.7809 1 2018
754640.4093 4288101.7629 0 2018
754638.9126 4288242.5516 1 2018
754568.3415 4288305.2211 1 2018
753729.9132 4287889.9277 1 2018
753809.7874 4287830.6534 1 2018
753915.5456 4287652.8597 0 2018
734880.8949 4290408.3902 0 2018
735090.3688 4290506.4247 0 2018
735253.7863 4289831.1507 0 2018
734644.8608 4290289.3301 0 2018
735647.4515 4290379.5262 0 2018
736303.4034 4290756.9114 0 2018
734128.0389 4291958.1207 0 2018
733916.7754 4291884.8524 0 2018
734502.285 4291296.2076 0 2018
734325.3797 4291230.1861 0 2018
733885.6423 4291350.6431 0 2018
748875.837 4281705.1767 0 2018
733867.8697 4291597.2585 0 2018
734931.1551 4291521.5786 0 2018
731861.2622 4287863.0986 0 2018
732005.8348 4287675.1414 0 2018
751602.152 4289154.8507 1 2018
749251.9902 4288882.0827 0 2018
756605.5346 4279263.6626 1 2018
767155.9781 4289368.8616 0 2018
756199.0942 4279900.7966 1 2018
766979.7549 4289606.4795 1 2018
756533.3698 4280359.6284 1 2018
767170.0002 4289861.3247 0 2018
767129.0136 4289773.6953 0 2018
767887.4028 4289446.5584 0 2018
767484.5874 4289278.7702 0 2018
767924.9614 4289634.4659 0 2018
767898.9147 4289816.1512 0 2018
767353.4355 4290056.8247 1 2018
768091.5124 4290030.5676 1 2018
752294.7044 4286485.4638 0 2018
752898.5637 4287236.1429 0 2018
751329.764 4287369.8515 1 2018
761768.1168 4290798.8172 0 2018
757232.69 4280472.5712 1 2018
736834.0603 4291874.067 0 2018
736799.2616 4291873.6087 0 2018
736819.5715 4291997.9526 0 2018
736754.6119 4291877.1407 0 2018
736914.7105 4291908.5814 0 2018
736917.0494 4291876.8791 0 2018
739741.8434 4289962.9088 0 2018
750811.9866 4293415.1562 0 2018
750778.4469 4293420.6541 0 2018
750729.0266 4293404.5237 0 2018
750848.2054 4287366.8055 1 2018
750858.9003 4287355.488 1 2018
750899.9683 4287318.2633 1 2018
750841.97 4287365.9756 1 2018
750857.9209 4287349.5542 0 2018
750879.2716 4287327.601 1 2018
750820.6932 4287382.7025 0 2018
750825.1767 4287377.9001 0 2018
750826.864 4287376.0069 1 2018
750834.7805 4287365.33 0 2018
750840.9898 4287360.2319 1 2018
750868.0433 4287331.3061 1 2018
750873.8004 4287325.2992 1 2018
750883.6845 4287315.8178 1 2018
750819.605 4287376.5208 0 2018
750834.9838 4287358.4633 1 2018
750841.0022 4287353.8542 1 2018
750852.2832 4287341.9495 1 2018
750858.1701 4287337.0743 0 2018
750819.4846 4287370.4962 1 2018
750828.1923 4287361.8278 1 2018
750837.0187 4287352.9721 1 2018
750842.0247 4287348.0392 0 2018
750871.9998 4287321.575 1 2018
750877.0416 4287316.4652 1 2018
750818.8802 4287364.8876 1 2018
750830.7442 4287354.0535 1 2018
750836.9449 4287347.8419 1 2018
750842.314 4287342.1709 0 2018
750859.9928 4287326.3316 1 2018
750872.2206 4287315.2439 0 2018
750878.0299 4287308.843 1 2018
763779.8996 4288179.1359 0 2018
763801.3223 4288279.4287 1 2018
763784.9635 4288443.8047 0 2018
764443.2023 4290709.9617 0 2018
764471.243 4290701.4045 0 2018
764462.8279 4290762.2759 0 2018
764389.5118 4290765.4107 0 2018
764282.2428 4290628.2583 0 2018
764337.3335 4290612.1709 0 2018
764299.3547 4290593.6995 0 2018
736753.2919 4291796.6926 0 2018
736792.1832 4291775.4493 0 2018
736873.8237 4291849.5138 0 2018
739766.8114 4289970.5897 0 2018
739744.8979 4289945.7436 0 2018
739750.9638 4289897.8604 0 2018
739744.753 4289917.3446 0 2018
739706.4256 4289975.5217 0 2018
750688.6273 4293318.3223 0 2018
